location,timepoint,cloudcover,seeing,transparency,lifted_index,rh2m,temp2m,prec_type,wind10m_direction,wind10m_speed
Warsaw,2023-04-10 15:00:00,8,2,2,-1,7,15,rain,E,2
Stalowa Wola,2023-04-10 15:00:00,8,2,2,-1,6,14,rain,E,2
Warsaw,2023-04-10 18:00:00,9,6,2,-1,10,12,rain,NE,2
Stalowa Wola,2023-04-10 18:00:00,7,5,3,2,11,8,rain,NE,2
Warsaw,2023-04-10 21:00:00,9,5,3,2,11,10,none,SE,2
Stalowa Wola,2023-04-10 21:00:00,2,5,5,2,14,6,none,SE,2
Warsaw,2023-04-11 00:00:00,9,6,3,6,12,8,none,SE,2
Stalowa Wola,2023-04-11 00:00:00,2,5,6,6,15,5,none,SE,2
Warsaw,2023-04-11 03:00:00,1,5,4,6,14,7,none,SE,2
Stalowa Wola,2023-04-11 03:00:00,1,5,7,6,15,4,none,SE,2
Warsaw,2023-04-11 06:00:00,1,3,6,2,12,8,none,SE,3
Stalowa Wola,2023-04-11 06:00:00,1,2,5,6,11,7,none,SE,3
Warsaw,2023-04-11 09:00:00,2,3,2,2,7,13,none,SE,3
Stalowa Wola,2023-04-11 09:00:00,1,2,3,2,7,12,none,SE,3
Warsaw,2023-04-11 12:00:00,2,3,2,2,5,15,none,S,3
Stalowa Wola,2023-04-11 12:00:00,1,2,2,2,4,14,none,S,3
Warsaw,2023-04-11 15:00:00,9,2,2,2,6,15,none,S,3
Stalowa Wola,2023-04-11 15:00:00,8,3,2,2,7,12,none,S,3
Warsaw,2023-04-11 18:00:00,9,5,2,2,9,12,none,SE,3
Stalowa Wola,2023-04-11 18:00:00,8,5,3,2,11,8,rain,SE,3
Warsaw,2023-04-11 21:00:00,9,5,3,2,12,10,rain,SE,3
Stalowa Wola,2023-04-11 21:00:00,8,4,6,2,13,6,rain,SE,3
Warsaw,2023-04-12 00:00:00,9,4,8,6,15,8,rain,SW,2
Stalowa Wola,2023-04-12 00:00:00,9,3,8,6,13,5,rain,SW,2
Warsaw,2023-04-12 03:00:00,9,3,8,2,14,6,rain,NW,2
Stalowa Wola,2023-04-12 03:00:00,9,2,8,6,13,6,rain,NW,2
Warsaw,2023-04-12 06:00:00,9,3,8,6,13,8,rain,SE,2
Stalowa Wola,2023-04-12 06:00:00,8,3,8,6,13,7,rain,SE,2
Warsaw,2023-04-12 09:00:00,7,3,4,6,11,11,rain,SW,2
Stalowa Wola,2023-04-12 09:00:00,8,3,4,6,11,9,rain,SW,2
Warsaw,2023-04-12 12:00:00,7,3,3,6,8,13,rain,SW,3
Stalowa Wola,2023-04-12 12:00:00,8,3,3,6,9,10,rain,SW,3
Warsaw,2023-04-12 15:00:00,5,3,3,6,8,13,none,SW,2
Stalowa Wola,2023-04-12 15:00:00,9,3,3,6,9,9,none,SW,2
Warsaw,2023-04-12 18:00:00,4,5,3,10,11,10,none,W,2
Stalowa Wola,2023-04-12 18:00:00,9,5,3,10,11,8,none,W,2
Warsaw,2023-04-12 21:00:00,6,6,3,15,12,8,none,W,2
Stalowa Wola,2023-04-12 21:00:00,9,4,3,15,11,6,none,W,2
Warsaw,2023-04-13 00:00:00,7,6,3,15,12,7,none,S,2
Stalowa Wola,2023-04-13 00:00:00,9,6,3,15,12,6,none,S,2
Warsaw,2023-04-13 03:00:00,9,6,3,15,13,6,none,SE,2
Stalowa Wola,2023-04-13 03:00:00,8,6,3,15,13,3,none,SE,2
Warsaw,2023-04-13 06:00:00,8,3,4,15,11,8,none,SE,2
Stalowa Wola,2023-04-13 06:00:00,7,3,3,15,10,7,none,SE,2
Warsaw,2023-04-13 09:00:00,5,3,2,10,6,12,none,S,2
Stalowa Wola,2023-04-13 09:00:00,9,3,2,10,7,12,none,S,2
Warsaw,2023-04-13 12:00:00,7,3,2,10,5,14,none,S,2
Stalowa Wola,2023-04-13 12:00:00,9,3,2,6,4,14,none,S,2
